COUNTY,Year,Annum Mean NO2 Concentration
Alexandria City,1994,44.952777777777776
Alexandria City,1995,43.464285714285715
Alexandria City,1996,43.5975975975976
Alexandria City,1997,43.71671388101983
Alexandria City,1998,45.93611111111111
Alexandria City,1999,41.85635359116022
Alexandria City,2000,37.275956284153004
Alexandria City,2001,38.27624309392265
Alexandria City,2002,40.54782608695652
Alexandria City,2003,37.8132183908046
Alexandria City,2004,38.31652661064426
Alexandria City,2005,39.24149659863946
Alexandria City,2006,33.33101045296167
Alexandria City,2007,32.427083333333336
Alexandria City,2008,29.6
Alexandria City,2009,28.77777777777778
Alexandria City,2010,30.383480825958703
Alexandria City,2011,25.75524861878453
Alexandria City,2012,26.258543417366944
Alexandria City,2013,27.442857142857147
Alexandria City,2014,26.27110266159696
Alexandria City,2015,26.758974358974356
Alexandria City,2016,34.1
Arlington,1994,43.11602209944751
Arlington,1995,41.35014005602241
Arlington,1996,43.05337078651685
Arlington,1997,43.168458781362006
Arlington,1998,45.16167664670659
Arlington,1999,43.605633802816904
Arlington,2000,38.94117647058823
Arlington,2001,38.357798165137616
Arlington,2002,38.735955056179776
Arlington,2003,42.50837988826816
Arlington,2004,37.01685393258427
Arlington,2005,35.77710843373494
Arlington,2006,32.60511363636363
Arlington,2007,30.120111731843576
Arlington,2008,26.76685393258427
Arlington,2009,25.478021978021978
Arlington,2010,25.807242339832868
Arlington,2011,24.6956043956044
Arlington,2012,23.572950819672133
Arlington,2013,21.70938416422287
Arlington,2014,22.805621301775147
Arlington,2015,22.021551724137932
Arlington,2016,21.67513661202186
Arlington,2017,20.100550964187327
Arlington,2018,18.76096866096866
Arlington,2019,20.18061797752809
Arlington,2020,16.165564738292012
Arlington,2021,17.837845303867404
Arlington,2022,18.62611111111111
Arlington,2023,18.917514124293785
Caroline,1994,14.572222222222223
Caroline,1995,13.465181058495821
Caroline,1996,14.705263157894738
Caroline,1997,13.834757834757834
Caroline,1998,19.4031007751938
Caroline,1999,18.27338129496403
Caroline,2000,19.78723404255319
Caroline,2001,13.09322033898305
Caroline,2002,12.681208053691275
Caroline,2004,7.732142857142857
Caroline,2007,7.206521739130435
Caroline,2008,5.98876404494382
